Feature,F_Rank,MI_Rank,RF_Rank,Avg_Rank
SCALED_MONTHS_HISTORY,2.0,1.0,1.0,1.3333333333333333
SCALED_CAPPED_MONTHS_HISTORY,1.0,2.0,2.0,1.6666666666666667
CAPPED_MONTHS_HISTORY,3.0,23.0,3.0,9.666666666666666
MONTHS_HISTORY,4.0,24.0,4.0,10.666666666666666
SCALED_LOG_EMPLOYMENT_YEARS,16.0,7.0,20.0,14.333333333333334
SCALED_ASSET_COUNT,22.0,17.0,5.0,14.666666666666666
SCALED_OCCUPATION_TYPE,23.0,14.0,7.0,14.666666666666666
LOG_EMPLOYMENT_YEARS,17.0,8.0,21.0,15.333333333333334
CAPPED_EMPLOYMENT_YEARS,15.0,3.0,29.0,15.666666666666666
SCALED_FLAG_OWN_REALTY,19.0,20.0,9.0,16.0
SCALED_CAPPED_EMPLOYMENT_YEARS,14.0,4.0,31.0,16.333333333333332
SCALED_EMPLOYMENT_YEARS,12.0,6.0,32.0,16.666666666666668
EMPLOYMENT_YEARS,13.0,5.0,33.0,17.0
SCALED_NAME_EDUCATION_TYPE,29.0,19.0,6.0,18.0
SCALED_COMMUNICATION_COUNT,39.0,15.0,8.0,20.666666666666668
SCALED_NAME_INCOME_TYPE,27.0,18.0,19.0,21.333333333333332
SCALED_LOG_DAYS_EMPLOYED,25.0,12.0,27.0,21.333333333333332
OCCUPATION_TYPE,20.0,34.0,11.0,21.666666666666668
LOG_DAYS_EMPLOYED,26.0,13.0,26.0,21.666666666666668
SCALED_CAPPED_DAYS_EMPLOYED,35.0,10.0,22.0,22.333333333333332
CAPPED_DAYS_EMPLOYED,36.0,9.0,23.0,22.666666666666668
SCALED_DAYS_EMPLOYED,34.0,11.0,25.0,23.333333333333332
ASSET_COUNT,6.0,38.0,28.0,24.0
DAYS_EMPLOYED,33.0,16.0,24.0,24.333333333333332
SCALED_FLAG_PHONE,42.0,21.0,10.0,24.333333333333332
SCALED_FLAG_OWN_CAR,40.0,22.0,13.0,25.0
FLAG_OWN_REALTY,5.0,37.0,35.0,25.666666666666668
NAME_EDUCATION_TYPE,18.0,33.0,30.0,27.0
SCALED_LOG_AMT_INCOME_TOTAL,46.0,26.0,15.0,29.0
FLAG_OWN_CAR,7.0,39.0,41.0,29.0
FLAG_PHONE,8.0,41.0,38.0,29.0
COMMUNICATION_COUNT,9.0,40.0,39.0,29.333333333333332
CAPPED_AMT_INCOME_TOTAL,49.0,30.0,12.0,30.333333333333332
LOG_AMT_INCOME_TOTAL,47.0,27.0,18.0,30.666666666666668
NAME_INCOME_TYPE,21.0,36.0,36.0,31.0
SCALED_AMT_INCOME_TOTAL,51.0,29.0,14.0,31.333333333333332
FLAG_WORK_PHONE,10.0,44.0,42.0,32.0
AMT_INCOME_TOTAL,51.0,28.0,17.0,32.0
SCALED_CAPPED_AMT_INCOME_TOTAL,50.0,31.0,16.0,32.333333333333336
FLAG_EMAIL,11.0,45.0,43.0,33.0
SCALED_FLAG_WORK_PHONE,41.0,25.0,34.0,33.333333333333336
NAME_HOUSING_TYPE,24.0,42.0,44.0,36.666666666666664
SCALED_MONTHS_HISTORY_Medium-Low,28.0,49.0,45.0,40.666666666666664
SCALED_NAME_HOUSING_TYPE,51.0,32.0,40.0,41.0
SCALED_FLAG_EMAIL,51.0,35.0,37.0,41.0
SCALED_MONTHS_HISTORY_Medium-High,32.0,47.0,47.0,42.0
MONTHS_HISTORY_Medium-High,30.0,48.0,48.0,42.0
MONTHS_HISTORY_Medium-Low,31.0,50.0,46.0,42.333333333333336
IS_UNEMPLOYED,38.0,43.0,54.0,45.0
SCALED_IS_UNEMPLOYED,37.0,51.0,53.0,47.0
SCALED_MONTHS_HISTORY_Low,44.0,51.0,49.0,48.0
MONTHS_HISTORY_Low,43.0,51.0,51.0,48.333333333333336
SCALED_MONTHS_HISTORY_High,45.0,51.0,50.0,48.666666666666664
MONTHS_HISTORY_High,48.0,51.0,52.0,50.333333333333336
FLAG_MOBIL,51.0,46.0,55.5,50.833333333333336
SCALED_FLAG_MOBIL,51.0,51.0,55.5,52.5
